price,id_web,post_title,product_id,total_sales,product_revenue,z_score
100.0,15382,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,4115,0.0,0.0,2.427385420938595
88.4,11668,Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012,4132,0.0,0.0,2.0102771487143416
225.0,15940,Champagne Egly-Ouriet Grand Cru Millésimé 2008,4352,5.0,1125.0,6.922086630251679
126.5,12589,Champagne Egly-Ouriet Grand Cru Blanc de Noirs,4355,11.0,1391.5,3.380262077312969
176.0,3510,Cognac Frapin VIP XO,4402,13.0,2288.0,5.16016375620095
108.5,3507,Cognac Frapin Château de Fontpinot XO,4404,2.0,217.0,2.733025103171885
157.0,7819,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,4406,0.0,0.0,4.4769691723853615
104.0,3509,Cognac Frapin Cigar Blend,4407,1.0,104.0,2.571215859636614
109.6,12857,Château de Meursault Puligny-Montrachet 1er Cru Champ Canet 2014,4582,0.0,0.0,2.77257847381384
102.3,14805,Domaine Des Croix Corton Grand Cru Les Grèves 2017,4903,0.0,0.0,2.5100879231899564
137.0,14220,Domaine Des Croix Corton Charlemagne Grand Cru 2016,4904,5.0,685.0,3.757816978895268
217.5,14581,David Duband Charmes-Chambertin Grand Cru 2014,5001,0.0,0.0,6.652404557692893
105.0,12791,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2014,5007,0.0,0.0,2.607173469311119
105.0,11602,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2013,5008,0.0,0.0,2.607173469311119
112.0,13914,Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,5025,0.0,0.0,2.8588767370326513
92.0,19822,Tempier Bandol Cabassaou 2017,5565,0.0,0.0,2.1397245435425583
124.8,14915,Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2,5612,0.0,0.0,3.3191341408663115
175.0,15185,Camille Giroud Clos de Vougeot 2016,5767,0.0,0.0,5.124206146526445
191.3,14983,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,5892,3.0,573.9000000000001,5.710315184220872
93.0,14774,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,5916,0.0,0.0,2.175682153217063
122.0,14775,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,5917,0.0,0.0,3.218452833777698
114.0,14773,Wemyss Malts Single Cask Scotch Whisky Chai Caramel Latte 2002 Craigellachie,5918,0.0,0.0,2.9307919563816607
135.0,14923,Champagne Gosset Célébris Vintage 2007,6126,2.0,270.0,3.6859017595462586
105.6,14596,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,6201,0.0,0.0,2.6287480351158212
116.4,15126,Domaine Clerget Echezeaux Grand Cru En Orveaux 2015,6202,0.0,0.0,3.017090219600472
115.0,13996,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,6212,2.0,230.0,2.9667495660561656
121.0,15072,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,6213,0.0,0.0,3.182495224103193
99.0,11601,Domaine des Comtes Lafon Volnay 1er Cru Champans 2013,6214,0.0,0.0,2.3914278112640908
115.0,12790,Domaine des Comtes Lafon Volnay 1er Cru Champans 2014,6215,0.0,0.0,2.9667495660561656
121.0,15070,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,6216,0.0,0.0,3.182495224103193
